comments,candidate_wikipedia,party_youtube,התנועה לאיכות השלטון,party_facebook,party_manifest_url,party_website,party_image_url,mk_id,ordinal,candidate_name,ballot,party
,http://he.wikipedia.org/wiki/%D7%99%D7%90%D7%99%D7%A8_%D7%9C%D7%A4%D7%99%D7%93,http://www.youtube.com/watch?v=pKVrFwJ2CVc,,https://www.facebook.com/YairLapid,http://yeshatid.org.il/%D7%A2%D7%9C-%D7%94%D7%9E%D7%A4%D7%9C%D7%92%D7%94-2/%D7%9E%D7%A0%D7%95%D7%A4%D7%99-%D7%94%D7%A9%D7%99%D7%A0%D7%95%D7%99/        http://yeshatid.org.il/,http://yeshatid.org.il/,http://yeshatid.org.il/wp-content/uploads/2012/11/y1.jpg,,1,לפיד יאיר,פה,יש עתיד בראשות יאיר לפיד
,,,,,,,,,2,פירון שי משה,,יש עתיד בראשות יאיר לפיד
,http://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%9C_%D7%92%D7%A8%D7%9E%D7%9F,,,,,,,,3,גרמן יעל,,יש עתיד בראשות יאיר לפיד
,http://he.wikipedia.org/wiki/%D7%9E%D7%90%D7%99%D7%A8_%D7%9B%D7%94%D7%9F,,,,,,,,4,כהן מאיר,,יש עתיד בראשות יאיר לפיד
,http://he.wikipedia.org/wiki/%D7%99%D7%A2%D7%A7%D7%91_%D7%A4%D7%A8%D7%99,,,,,,,,5,פרי יעקב,,יש עתיד בראשות יאיר לפיד
,http://he.wikipedia.org/wiki/%D7%A2%D7%A4%D7%A8_%D7%A9%D7%9C%D7%97,,,,,,,,6,שלח עפר,,יש עתיד בראשות יאיר לפיד
,http://he.wikipedia.org/wiki/%D7%A2%D7%9C%D7%99%D7%96%D7%94_%D7%9C%D7%91%D7%99%D7%90,,,,,,,,7,לביא עליזה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,8,רזבוגוב יואל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,9,קול עדי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,10,אלהרר הרטשטיין קארין,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,11,לוי מיקי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,12,סולומון יאסו שמעון,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,13,קלדרון רות,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,14,תמנו-שטה פנינה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,15,פרנקל רינה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,16,קריב יפעת,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,17,ליפמן דב,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,18,טופורובסקי בועז,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,19,הופמן רונן,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,20,אל-על טל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,21,בבוט מרק,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,22,שולץ נעמה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,23,קדור סלים,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,24,בנישתי איציק יצחק,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,25,מאירי גדי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,26,סטדלר לריסה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,27,מגן עמי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,28,מנייב בוריס,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,29,פלד-חיון תמי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,30,שוייצר הדר,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,31,שריר גלעד,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,32,כהן יובל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,33,קרול ילנה חיה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,34,מזאוי אוהם,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,35,ביטון דבורה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,36,בר -תור שמואל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,37,הרטמן אביבה-יוליה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,38,סבויסקי מיכאל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,39,בז”ה רמי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,40,יאסו אקליל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,41,קוזין אנטון,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,42,בלוגובסקי חנה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,43,שפושניק יוסף,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,44,גרבינר כרמלה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,45,שטיינר רוברט,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,46,אהרוני ארז,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,47,שומרוני יצחק,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,48,מיאון שחר,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,49,גרינברגר אורי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,50,פדהצור דורון,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,51,דרורי דלית,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,52,וולף אלון,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,53,לוי ירון עמוס,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,54,ברזילי יעל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,55,דיאמנט חנית חנה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,56,מולכו דרור,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,57,בוחבוט-לוין יצחק,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,58,קורץ יעקב,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,59,שור עידו,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,60,בלום זוהר זוגברד,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,61,דוידי דניאל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,62,פינקלשטיין עופרה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,63,סטורוזנקו תמרה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,64,אלפסי סמי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,65,אבוטבול אלי,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,66,בן אבי חיים,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,67,דניאלי ישראל,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,68,בל עופרה,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,69,שבלת ארנון,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,70,סלומון ברק אברהם,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,71,כץ רון,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,72,נדב יוסף,,יש עתיד בראשות יאיר לפיד
,,,,,,,,,73,פיינה איתי,,יש עתיד בראשות יאיר לפיד
